00001740	1
00001930	160
00002137	259
00002325	183
00002452	339
00002573	183
00002684	1
00002724	1
00002942	1
00003316	183
00003356	1
00003431	1
00003553	1
00003826	1
00004032	1
00004227	1
00004258	159
00004475	217
00004605	1
00004819	1
00005041	1
00005526	1
00005815	1
00006032	1
00006238	183
00006336	1
00006484	153
00006523	1
00006697	183
00006802	1
00007012	1
00007328	1
00007347	160
00007549	1
00007739	1
00007846	1
00008007	1
00008055	183
00008435	1
00008602	1
00009147	1
00009373	1
00009492	1
00009631	1
00009978	1
00010054	183
00010241	183
00010435	1
00011551	183
00011757	1
00011982	182
00012267	1
00012434	183
00012944	183
00013160	1
00013172	1
00013328	1
00013615	1
00013858	1
00013887	1
00014034	1
00014201	1
00014405	183
00014549	1
00014742	183
00015163	183
00015303	183
00015388	217
00015498	1
00015806	1
00015946	1
00016183	1
00016380	1
00016756	1
00016855	1
00017031	1
00017222	193
00017282	1
00017531	1
00017674	1
00017865	1
00018158	1
00018526	1
00018813	1
00019128	274
00019131	1
00019182	183
00019448	1
00019613	1
00019792	1
00020090	1
00020671	183
00020827	1
00020926	183
00021065	1
00021265	193
00021554	183
00021679	183
00021766	1
00021826	246
00021939	290
00021997	183
00022099	1
00022316	1
00022686	1
00022903	1
00023100	210
00023271	285
00023380	183
00023383	1
00023473	1
00023646	230
00023773	1
00023868	183
00024047	1
00024264	196
00024279	1
00024649	183
00024720	1
00024814	1
00025034	1
00025203	1
00025654	1
00025728	1
00025985	1
00026153	1
00026192	1
00026385	1
00026734	1
00026941	183
00027064	183
00027167	257
00027268	1
00027705	1
00027807	1
00028010	1
00028270	170
00028362	1
00028565	183
00028651	1
00029025	183
00029336	183
00029378	263
00029677	1
00029836	183
00030010	183
00030142	1
00030358	263
00030647	346
00031264	163
00031540	183
00031663	183
00031820	183
00031921	259
00032539	1
00032613	303
00032778	1
00032823	291
00032981	183
00033020	263
00033574	1
00033599	1
00033615	254
00033852	183
00034115	1
00034213	263
00034288	1
00034574	351
00034758	1
00034948	1
00035189	343
00035603	1
00035697	154
00035758	1
00036178	1
00036362	183
00036580	1
00036762	1
00036780	1
00036932	183
00037298	183
00037396	1
00037457	1
00037514	1
00037919	1
00038262	1
00038365	1
00038573	1
00038687	1
00038750	1
00038849	1
00039021	288
00039121	1
00039297	1
00039318	1
00039488	1
00039592	1
00039950	1
00040152	263
00040188	183
00040325	1
00040353	1
00040685	1
00040804	302
00040928	1
00040962	1
00041188	162
00041899	1
00042311	274
00042457	1
00042541	276
00042757	274
00043116	341
00043195	282
00043411	339
00043480	1
00043609	274
00043683	1
00043765	1
00043902	1
00043912	1
00044037	183
00044149	1
00044150	289
00044353	1
00044455	288
00044673	263
00044797	1
00044900	190
00045064	183
00045114	205
00045145	183
00045240	183
00045250	295
00045639	1
00045646	1
00045817	182
00045907	160
00046022	1
00046109	1
00046151	1
00046177	339
00046344	140
00046449	1
00046522	1
00046534	1
00046639	1
00047018	135
00047172	1
00047317	1
00047745	1
00047945	1
00048129	1
00048225	274
00048374	1
00048633	1
00048656	1
00048790	1
00048828	1
00048912	183
00049003	1
00049007	183
00049102	1
00049197	88
00049309	1
00049483	1
00049636	1
00049669	320
00049770	1
00049900	1
00050037	305
00050195	1
00050454	1
00050652	1
00050693	282
00051045	1
00051060	320
00051170	1
00051511	183
00051525	1
00051712	343
00051761	1
00051942	183
00052043	88
00052146	162
00052334	162
00052374	1
00052500	1
00052548	183
00052672	309
00052791	164
00052845	1
00053097	1
00053159	1
00053341	1
00053609	274
00053656	1
00053889	183
00053913	1
00054059	183
00054285	1
00054628	1
00054821	289
00055010	183
00055142	1
00055315	1
00055539	1
00055633	289
00055793	306
00055871	183
00056188	1
00056334	1
00056688	266
00056912	1
00056930	1
00057162	266
00057306	266
00057486	295
00057506	339
00057665	180
00057748	1
00057895	1
00058002	164
00058014	1
00058135	1
00058265	1
00058337	164
00058401	4
00058516	1
00058519	339
00058645	1
00058743	1
00058794	1
00058897	1
00059019	1
00059127	302
00059376	1
00059552	129
00059728	137
00059899	183
00059989	1
00060063	1
00060185	1
00060201	1
00060477	1
00060833	183
00061014	341
00061079	183
00061171	295
00061219	1
00061262	1
00061290	339
00061401	1
00061595	1
00061598	303
00061792	276
00061917	1
00061933	183
00062133	346
00062203	1
00062397	1
00062451	303
00062582	183
00062806	1
00063095	1
00063277	1
00063291	1
00063557	1
00063652	1
00063724	1
00064095	1
00064151	140
00064370	1
00064479	1
00064504	1
00064643	1
00064789	1
00064889	1
00065070	183
00065184	1
00065370	1
00065575	1
00065639	1
00065791	1
00066025	1
00066191	1
00066216	289
00066397	1
00066636	1
00066685	1
00066901	1
00066977	1
00067274	1
00067545	1
00067707	1
00067990	274
00067999	1
00068333	344
00068467	1
00068617	292
00068627	183
00068740	183
00068858	183
00068901	303
00069060	1
00069166	1
00069173	306
00069295	1
00069531	1
00069879	183
00070641	288
00070816	183
00070965	1
00071178	1
00071646	183
00071803	1
00071864	1
00072012	1
00072261	1
00072473	1
00072586	1
